"type","title","code"
"group","Fertiliser and Pesticide Manufacturing","183"
"group","Pharmaceutical and Medicinal Product Manufacturing","184"
"group","Cleaning Compound and Toiletry Preparation Manufacturing","185"
"group","Other Basic Chemical Product Manufacturing","189"
"group","Polymer Product Manufacturing","191"
"group","Natural Rubber Product Manufacturing","192"
"group","Glass and Glass Product Manufacturing","201"
"group","Ceramic Product Manufacturing","202"
"group","Cement, Lime, Plaster and Concrete Product Manufacturing","203"
"group","Other Non-Metallic Mineral Product Manufacturing","209"
"group","Basic Ferrous Metal Manufacturing","211"
"group","Basic Ferrous Metal Product Manufacturing","212"
"group","Basic Non-Ferrous Metal Manufacturing","213"
"group","Basic Non-Ferrous Metal Product Manufacturing","214"
"group","Iron and Steel Forging","221"
"group","Structural Metal Product Manufacturing","222"
"group","Metal Container Manufacturing","223"
"group","Sheet Metal Product Manufacturing (except Metal Structural and Container Products)","224"
"group","Other Fabricated Metal Product Manufacturing","229"
"group","Motor Vehicle and Motor Vehicle Part Manufacturing","231"
"group","Other Transport Equipment Manufacturing","239"
"group","Professional and Scientific Equipment Manufacturing","241"
"group","Computer and Electronic Equipment Manufacturing","242"
"group","Electrical Equipment Manufacturing","243"
"group","Domestic Appliance Manufacturing","244"
"group","Pump, Compressor, Heating and Ventilation Equipment Manufacturing","245"
"group","Specialised Machinery and Equipment Manufacturing","246"
"group","Other Machinery and Equipment Manufacturing","249"
"group","Furniture Manufacturing","251"
"group","Other Manufacturing","259"
"group","Electricity Generation","261"
"group","Electricity Transmission","262"
"group","Electricity Distribution","263"
"group","On Selling Electricity and Electricity Market Operation","264"
"group","Gas Supply","270"
"group","Water Supply, Sewerage and Drainage Services","281"
"group","Waste Collection Services","291"
"group","Waste Treatment, Disposal and Remediation Services","292"
"group","Residential Building Construction","301"
"group","Non-Residential Building Construction","302"
"group","Heavy and Civil Engineering Construction","310"
"group","Land Development and Site Preparation Services","321"
"group","Building Structure Services","322"
"group","Building Installation Services","323"
"group","Building Completion Services","324"
"group","Other Construction Services","329"
"group","Agricultural Product Wholesaling","331"
"group","Mineral, Metal and Chemical Wholesaling","332"
"group","Timber and Hardware Goods Wholesaling","333"
"group","Specialised Industrial Machinery and Equipment Wholesaling","341"
"group","Other Machinery and Equipment Wholesaling","349"
"group","Motor Vehicle and Motor Vehicle Parts Wholesaling","350"
"group","Grocery, Liquor and Tobacco Product Wholesaling","360"
"group","Textile, Clothing and Footwear Wholesaling","371"
"group","Pharmaceutical and Toiletry Goods Wholesaling","372"
"group","Furniture, Floor Covering and Other Goods Wholesaling","373"
"group","Commission-Based Wholesaling","380"
"group","Motor Vehicle Retailing","391"
"group","Motor Vehicle Parts and Tyre Retailing","392"
"group","Fuel Retailing","400"
"group","Supermarket and Grocery Stores","411"
"group","Specialised Food Retailing","412"
"group","Furniture, Floor Coverings, Houseware and Textile Goods Retailing","421"
"group","Electrical and Electronic Goods Retailing","422"
"group","Hardware, Building and Garden Supplies Retailing","423"
"group","Recreational Goods Retailing","424"
"group","Clothing, Footwear and Personal Accessory Retailing","425"
"group","Department Stores","426"
"group","Pharmaceutical and Other Store-Based Retailing","427"
"group","Non-Store Retailing","431"
"group","Retail Commission-Based Buying and/or Selling","432"
"group","Accommodation","440"
"group","Cafes, Restaurants and Takeaway Food Services","451"
"group","Pubs, Taverns and Bars","452"
"group","Clubs (Hospitality)","453"
"group","Road Freight Transport","461"
"group","Road Passenger Transport","462"
"group","Rail Freight Transport","471"
"group","Rail Passenger Transport","472"
"group","Water Freight Transport","481"
"group","Water Passenger Transport","482"
"group","Air and Space Transport","490"
"group","Scenic and Sightseeing Transport","501"
"group","Pipeline and Other Transport","502"
"group","Postal and Courier Pick-up and Delivery Services","510"
"group","Water Transport Support Services","521"
"group","Airport Operations and Other Air Transport Support Services","522"
"group","Other Transport Support Services","529"
"group","Warehousing and Storage Services","530"
"group","Newspaper, Periodical, Book and Directory Publishing","541"
"group","Software Publishing","542"
"group","Motion Picture and Video Activities","551"
"group","Sound Recording and Music Publishing","552"
"group","Radio Broadcasting","561"
"group","Television Broadcasting","562"
"group","Internet Publishing and Broadcasting","570"
"group","Telecommunications Services","580"
"group","Internet Service Providers and Web Search Portals","591"
"group","Data Processing, Web Hosting and Electronic Information Storage Services","592"
"group","Libraries and Archives","601"
"group","Other Information Services","602"
"group","Central Banking","621"
"group","Depository Financial Intermediation","622"
"group","Non-Depository Financing","623"
"group","Financial Asset Investing","624"
"group","Life Insurance","631"
"group","Health and General Insurance","632"
"group","Superannuation Funds","633"
"group","Auxiliary Finance and Investment Services","641"
"group","Auxiliary Insurance Services","642"
"group","Motor Vehicle and Transport Equipment Rental and Hiring","661"
"group","Farm Animal and Bloodstock Leasing","662"
"group","Other Goods and Equipment Rental and Hiring","663"
"group","Non-Financial Intangible Assets (Except Copyrights) Leasing","664"
"group","Property Operators","671"
"group","Real Estate Services","672"
"group","Scientific Research Services","691"
"group","Architectural, Engineering and Technical Services","692"
"group","Legal and Accounting Services","693"
"group","Advertising Services","694"
"group","Market Research and Statistical Services","695"
"group","Management and Related Consulting Services","696"
"group","Veterinary Services","697"
"group","Other Professional, Scientific and Technical Services","699"
"group","Computer System Design and Related Services","700"
"group","Employment Services","721"
"group","Travel Agency and Tour Arrangement Services","722"
"group","Other Administrative Services","729"
"group","Building Cleaning, Pest Control and Gardening Services","731"
"group","Packaging Services","732"
"group","Central Government Administration","751"
"group","State Government Administration","752"
"group","Local Government Administration","753"
"group","Justice","754"
"group","Government Representation","755"
"group","Defence","760"
"group","Public Order and Safety Services","771"
"group","Regulatory Services","772"
"group","Preschool Education","801"
"group","School Education","802"
"group","Tertiary Education","810"
"group","Adult, Community and Other Education","821"
"group","Educational Support Services","822"
"group","Hospitals","840"
"group","Medical Services","851"
"group","Pathology and Diagnostic Imaging Services","852"
"group","Allied Health Services","853"
"group","Other Health Care Services","859"
"group","Residential Care Services","860"
"group","Child Care Services","871"
"group","Other Social Assistance Services","879"
"group","Museum Operation","891"
"group","Parks and Gardens Operations","892"
"group","Creative and Performing Arts Activities","900"
"group","Sports and Physical Recreation Activities","911"
"group","Horse and Dog Racing Activities","912"
"group","Amusement and Other Recreation Activities","913"
"group","Gambling Activities","920"
"group","Automotive Repair and Maintenance","941"
"group","Machinery and Equipment Repair and Maintenance","942"
"group","Other Repair and Maintenance","949"
"group","Personal Care Services","951"
"group","Funeral, Crematorium and Cemetery Services","952"
"group","Other Personal Services","953"
"group","Religious Services","954"
"group","Civic, Professional and Other Interest Group Services","955"
"group","Private Households Employing Staff and Undifferentiated Goods- and Service-Producing Activities of Households for Own Use","960"
"class","Nursery Production (Under Cover)","0111"
"class","Nursery Production (Outdoors)","0112"
"class","Turf Growing","0113"
"class","Floriculture Production (Under Cover)","0114"
"class","Floriculture Production (Outdoors)","0115"
"class","Mushroom Growing","0121"
"class","Vegetable Growing (Under Cover)","0122"
"class","Vegetable Growing (Outdoors)","0123"
"class","Grape Growing","0131"
"class","Kiwifruit Growing","0132"
"class","Berry Fruit Growing","0133"
"class","Apple and Pear Growing","0134"
"class","Stone Fruit Growing","0135"
"class","Citrus Fruit Growing","0136"
"class","Olive Growing","0137"
"class","Other Fruit and Tree Nut Growing","0139"
"class","Sheep Farming (Specialised)","0141"
"class","Beef Cattle Farming (Specialised)","0142"
"class","Beef Cattle Feedlots (Specialised)","0143"
"class","Sheep-Beef Cattle Farming","0144"
"class","Grain-Sheep or Grain-Beef Cattle Farming","0145"
"class","Rice Growing","0146"
"class","Other Grain Growing","0149"
"class","Sugar Cane Growing","0151"
"class","Cotton Growing","0152"
"class","Other Crop Growing n.e.c.","0159"
