"type","title","code"
"class","Other Water Transport Support Services","5219"
"class","Airport Operations and Other Air Transport Support Services","5220"
"class","Customs Agency Services","5291"
"class","Freight Forwarding Services","5292"
"class","Other Transport Support Services n.e.c.","5299"
"class","Grain Storage Services","5301"
"class","Other Warehousing and Storage Services","5309"
"class","Newspaper Publishing","5411"
"class","Magazine and Other Periodical Publishing","5412"
"class","Book Publishing","5413"
"class","Directory and Mailing List Publishing","5414"
"class","Other Publishing (except Software, Music and Internet)","5419"
"class","Software Publishing","5420"
"class","Motion Picture and Video Production","5511"
"class","Motion Picture and Video Distribution","5512"
"class","Motion Picture Exhibition","5513"
"class","Post-production Services and Other Motion Picture and Video Activities","5514"
"class","Music Publishing","5521"
"class","Music and Other Sound Recording Activities","5522"
"class","Radio Broadcasting","5610"
"class","Free-to-Air Television Broadcasting","5621"
"class","Cable and Other Subscription Broadcasting","5622"
"class","Internet Publishing and Broadcasting","5700"
"class","Wired Telecommunications Network Operation","5801"
"class","Other Telecommunications Network Operation","5802"
"class","Other Telecommunications Services","5809"
"class","Internet Service Providers and Web Search Portals","5910"
"class","Data Processing and Web Hosting Services","5921"
"class","Electronic Information Storage Services","5922"
"class","Libraries and Archives","6010"
"class","Other Information Services","6020"
"class","Central Banking","6210"
"class","Banking","6221"
"class","Building Society Operation","6222"
"class","Credit Union Operation","6223"
"class","Other Depository Financial Intermediation","6229"
"class","Non-Depository Financing","6230"
"class","Financial Asset Investing","6240"
"class","Life Insurance","6310"
"class","Health Insurance","6321"
"class","General Insurance","6322"
"class","Superannuation Funds","6330"
"class","Financial Asset Broking Services","6411"
"class","Other Auxiliary Finance and Investment Services","6419"
"class","Auxiliary Insurance Services","6420"
"class","Passenger Car Rental and Hiring","6611"
"class","Other Motor Vehicle and Transport Equipment Rental and Hiring","6619"
"class","Farm Animal and Bloodstock Leasing","6620"
"class","Heavy Machinery and Scaffolding Rental and Hiring","6631"
"class","Video and Other Electronic Media Rental and Hiring","6632"
"class","Other Goods and Equipment Rental and Hiring n.e.c.","6639"
"class","Non-Financial Intangible Assets (Except Copyrights) Leasing","6640"
"class","Residential Property Operators","6711"
"class","Non-Residential Property Operators","6712"
"class","Real Estate Services","6720"
"class","Scientific Research Services","6910"
"class","Architectural Services","6921"
"class","Surveying and Mapping Services","6922"
"class","Engineering Design and Engineering Consulting Services","6923"
"class","Other Specialised Design Services","6924"
"class","Scientific Testing and Analysis Services","6925"
"class","Legal Services","6931"
"class","Accounting Services","6932"
"class","Advertising Services","6940"
"class","Market Research and Statistical Services","6950"
"class","Corporate Head Office Management Services","6961"
"class","Management Advice and Related Consulting Services","6962"
"class","Veterinary Services","6970"
"class","Professional Photographic Services","6991"
"class","Other Professional, Scientific and Technical Services n.e.c.","6999"
"class","Computer System Design and Related Services","7000"
"class","Employment Placement and Recruitment Services","7211"
"class","Labour Supply Services","7212"
"class","Travel Agency and Tour Arrangement Services","7220"
"class","Office Administrative Services","7291"
"class","Document Preparation Services","7292"
"class","Credit Reporting and Debt Collection Services","7293"
"class","Call Centre Operation","7294"
"class","Other Administrative Services n.e.c.","7299"
"class","Building and Other Industrial Cleaning Services","7311"
"class","Building Pest Control Services","7312"
"class","Gardening Services","7313"
"class","Packaging Services","7320"
"class","Central Government Administration","7510"
"class","State Government Administration","7520"
"class","Local Government Administration","7530"
"class","Justice","7540"
"class","Domestic Government Representation","7551"
"class","Foreign Government Representation","7552"
"class","Defence","7600"
"class","Police Services","7711"
"class","Investigation and Security Services","7712"
"class","Fire Protection and Other Emergency Services","7713"
"class","Correctional and Detention Services","7714"
"class","Other Public Order and Safety Services","7719"
"class","Regulatory Services","7720"
"class","Preschool Education","8010"
"class","Primary Education","8021"
"class","Secondary Education","8022"
"class","Combined Primary and Secondary Education","8023"
"class","Special School Education","8024"
"class","Technical and Vocational Education and Training","8101"
"class","Higher Education","8102"
"class","Sports and Physical Recreation Instruction","8211"
"class","Arts Education","8212"
"class","Adult, Community and Other Education n.e.c.","8219"
"class","Educational Support Services","8220"
"class","Hospitals (Except Psychiatric Hospitals)","8401"
"class","Psychiatric Hospitals","8402"
"class","General Practice Medical Services","8511"
"class","Specialist Medical Services","8512"
"class","Pathology and Diagnostic Imaging Services","8520"
"class","Dental Services","8531"
"class","Optometry and Optical Dispensing","8532"
"class","Physiotherapy Services","8533"
"class","Chiropractic and Osteopathic Services","8534"
"class","Other Allied Health Services","8539"
"class","Ambulance Services","8591"
"class","Other Health Care Services n.e.c.","8599"
"class","Aged Care Residential Services","8601"
"class","Other Residential Care Services","8609"
"class","Child Care Services","8710"
"class","Other Social Assistance Services","8790"
"class","Museum Operation","8910"
"class","Zoological and Botanical Gardens Operation","8921"
"class","Nature Reserves and Conservation Parks Operation","8922"
"class","Performing Arts Operation","9001"
"class","Creative Artists, Musicians, Writers and Performers","9002"
"class","Performing Arts Venue Operation","9003"
"class","Health and Fitness Centres and Gymnasia Operation","9111"
"class","Sports and Physical Recreation Clubs and Sports Professionals","9112"
"class","Sports and Physical Recreation Venues, Grounds and Facilities Operation","9113"
"class","Sports and Physical Recreation Administrative Service","9114"
"class","Horse and Dog Racing Administration and Track Operation","9121"
"class","Other Horse and Dog Racing Activities","9129"
"class","Amusement Parks and Centres Operation","9131"
"class","Amusement and Other Recreational Activities n.e.c.","9139"
"class","Casino Operation","9201"
"class","Lottery Operation","9202"
"class","Other Gambling Activities","9209"
"class","Automotive Electrical Services","9411"
"class","Automotive Body, Paint and Interior Repair","9412"
"class","Other Automotive Repair and Maintenance","9419"
"class","Domestic Appliance Repair and Maintenance","9421"
"class","Electronic (except Domestic Appliance) and Precision Equipment Repair","9422"
"class","Other Machinery and Equipment Repair and Maintenance","9429"
"class","Clothing and Footwear Repair","9491"
"class","Other Repair and Maintenance n.e.c.","9499"
"class","Hairdressing and Beauty Services","9511"
"class","Diet and Weight Reduction Centre Operation","9512"
"class","Funeral, Crematorium and Cemetery Services","9520"
"class","Laundry and Dry-Cleaning Services","9531"
"class","Photographic Film Processing","9532"
"class","Parking Services","9533"
"class","Brothel Keeping and Prostitution Services","9534"
"class","Other Personal Services n.e.c.","9539"
"class","Religious Services","9540"
"class","Business and Professional Association Services","9551"
"class","Labour Association Services","9552"
"class","Other Interest Group Services n.e.c.","9559"
"class","Private Households Employing Staff","9601"
"class","Undifferentiated Goods-Producing Activities of Private Households for Own Use","9602"
"class","Undifferentiated Service-Producing Activities of Private Households for Own Use","9603"
