sa2_code_16,mean_TOvsCOS,std_TOvsCOS,mean_rent,std_rent
402041172.0,1.9727579802122681,0.8578323844796413,60480.25277777762,50159.58219073838
403041078.0,2.121181531700739,0.9758543780209147,27728.410714285714,17812.10565448197
403041082.0,2.436655929994915,1.0798289457611472,42966.01864852981,32264.142460576342
404021102.0,2.142888168584388,1.1549895068088996,66038.23390879216,53155.650964358596
402021034.0,2.303440584398742,1.168025557463519,43337.922222222216,26804.92165065937
403021061.0,2.320983947813429,1.169420970484998,39184.923868137885,33874.04238163211
403031070.0,2.3491617226490455,1.1744972417447679,50395.548543690296,38389.46996300014
404011090.0,2.0742482225674586,1.186141160539657,38307.34807072538,30485.507368007762
402041047.0,2.3940737240240444,1.1957295538349122,46836.31338028169,36505.04105316059
402031036.0,2.2750781053554374,1.2131347339927017,52542.88132738483,42320.323940693226
402041046.0,2.3765688572987806,1.2208341392627478,47005.151734104045,33089.53340716155
404021101.0,2.211884440644707,1.2313661706442627,49895.97896252428,42630.79678694029
407011148.0,2.36027626417133,1.2829067416387339,31880.772823777075,26100.241615569226
402051052.0,2.4645945222357257,1.290120743070684,53504.92300568334,47688.2835532102
402041048.0,2.416265271975644,1.3017637088323257,58427.59139783871,50725.10392153256
405011115.0,2.3643648537628805,1.3062539756481164,32628.520742934343,29844.04083569856
402021035.0,2.3719771212685417,1.3168106718504373,24967.13068181818,25322.848090995263
404031108.0,2.328062318353073,1.3239843462516139,57319.69092721526,46323.384699008486
404011094.0,2.400628483653918,1.330682467257916,42446.706896551725,31673.69639018615
403021058.0,2.542228202486242,1.3371402678553121,47133.78846153846,38215.52759071466
402021029.0,2.489080801220777,1.409085480618919,51100.819142511595,41233.01909602893
407011144.0,2.3764665624650085,1.4461827597372285,23017.06140350877,21717.93597784534
403041083.0,2.6115510643119957,1.457854531677539,29998.091439196087,23236.73746483879
406011133.0,2.575381287696576,1.4694726907724085,32242.26879431064,26371.428776209894
407031160.0,2.251132565118991,1.4735314405963698,29335.998412698413,22959.192860099756
404021100.0,2.508890599254693,1.4818555995820015,27757.630952391428,20913.431169980962
404011097.0,2.550498822553644,1.4858260600444675,45385.94677054647,38942.55954594059
404011091.0,2.61532855696713,1.4902588922969657,36773.831360946744,29791.043677313388
407031167.0,2.2315605530647886,1.5185890431101627,32162.360655737706,24995.1520619718
406011136.0,2.6165680745619095,1.5455792439158653,23058.6460177,18665.629350390664
402041041.0,2.512835677246121,1.547402245906363,30215.81766382051,24285.137952986748
403041087.0,2.698382680740127,1.5493902056567184,26028.825431034482,22585.07127092588
403031068.0,2.618582482394744,1.5501024858927896,37237.80371947009,28449.12493505004
404031107.0,2.621364548125998,1.5573627192191326,42505.26961536509,33033.146154877126
404021099.0,2.8226149233701823,1.5629541114249403,30523.532808401575,20598.95980131037
402021030.0,2.5170657167217008,1.5759731047203684,78037.95333333334,62336.41042144551
405031122.0,2.4970517099416774,1.5859167129516145,32629.670507360548,28455.790091148407
403041088.0,2.3618658140960047,1.5973652212664478,23084.602941176472,15281.01414363267
407031162.0,2.4315968702404374,1.5987913767126336,24088.415384615386,19796.782379729913
403041077.0,2.5082175839772356,1.624764602507289,28686.546875,20902.872385346596
404011093.0,2.611122390396723,1.631181929412402,51046.46755931832,37889.02177445614
402041043.0,2.7239138554786497,1.6712193477591426,34012.4587628866,23740.56955926461
403041074.0,2.705970886179349,1.6792285693162436,31207.95294117647,27116.062594717114
401041014.0,2.5188972802782135,1.7097221266659888,22779.2,20000.181344841913
403041080.0,3.087067206952169,1.716183571860705,26205.36301369863,22421.92085345838
401051017.0,2.66350604632314,1.7302596983220506,53128.53811929279,43778.084146361005
402031038.0,2.628619677722685,1.742811608946966,42815.47302904564,32853.1686914529
401011001.0,2.741484429229315,1.7776807343690657,60332.19322788483,48179.11759387691
405011112.0,2.786984432388521,1.7808150722618563,43679.6037735849,50322.57791578234
401051019.0,2.7710791173082105,1.7954966540614556,42093.49369989529,35036.36462528271
403011057.0,2.926910641337784,1.8151517122544503,47389.1761248396,39199.40107715327
401051018.0,2.8408411069238033,1.837430567186742,43830.993353661695,36715.314880859165
402051051.0,3.28908099448857,1.8538166233272961,32103.72463768116,24155.211955481518
402051053.0,2.9297564372617186,1.8999184790542651,27089.506172839505,19123.319999495023
402051049.0,2.9845822372385697,1.9018267602837176,41227.89803921177,31941.367329684654
402051054.0,2.9230250816142576,1.9107510900974087,30259.603797468357,24716.76264906814
401041015.0,2.7920469049698617,1.9111923750284328,39886.993495936586,31378.57156372083
402011026.0,2.9471955312330707,1.9188759888652624,33498.82453416149,28947.314314123512
403041089.0,3.107943387786001,1.9218724714899824,26802.027027027027,22060.059387594385
403021064.0,2.9966051523771022,1.9226738794797034,66952.55357142857,73375.40860642117
401061021.0,2.9514034793794224,1.9280351334699337,39221.10526315789,31069.09693108144
404031106.0,2.8222117969302354,1.928227096151281,25892.13157894737,21069.834843703466
403031067.0,2.9837620332667,1.9316235280091036,32460.696369643563,22146.645052521762
402051055.0,3.1214863050213624,1.967171027608006,33630.03409090909,25443.855433959867
402031037.0,3.152573496065266,1.9901108552333906,40055.198113207545,33049.53211354299
401021004.0,2.858963998130551,1.9979122828620144,33655.00641534611,26090.060980199745
403041072.0,2.9415166472861576,2.016418852763899,21027.44578313253,15195.210548588233
401061022.0,2.774157232066329,2.068662285347175,41077.880952384614,29759.860881242963
404011095.0,2.7748345292758416,2.069205518857674,26455.704761904763,21898.446287932347
407031165.0,2.9093232794579196,2.0971770164283248,35359.06447368421,28893.336273209137
401021006.0,3.160850715618182,2.099949528595863,26958.913580249628,23874.482169526054
401031011.0,3.005191109475435,2.1003303456872784,40031.90988835885,32651.318955511375
